一丁不识	形容一个字也不认识。
通时合变	做理能适应客观情况的变化，懂得变通，不死守常规。同“通权达变”。
通时达务	指了解客观形势。
通时达变	做理能适应客观情况的变化，懂得变通，不死守常规。同“通权达变”。
通权达变	通、达：通晓，懂得；权、变：权宜，变通。做理能适应客观情况的变化，懂得变通，不死守常规。
通权达理	通晓权宜与事理。
通材达识	指博学多才、见识练达的人。同“通才练识”。
通盘酬算	统一筹划，全面照顾。
通真达灵	与神仙交往。
通脱不拘	通脱：放达不拘小节。放达而不受礼法和世俗偏见的束缚。
通行无阻	毫无阻碍地通行或通过。
通衢大道	通衢：四通八达的道路；道：道路。四通八达的道路。
通衢大邑	四通八达的大都会、大城市。同“通都大邑”。
通衢广陌	通衢：四通八达的道路；陌：田间小路。四通八达的大路和空旷的小路。
通衢越巷	衢：大街；巷：小巷。穿过大街，越过小巷。
通计熟筹	全面考虑，仔细筹划。
通财之谊	通：往来，交接。指在财物方面有互相接济，互通有无的情谊。
通身是胆	形容胆量大，无所畏惧。
通达古今	通达：明白。对古代的事知道得很多，并且通晓现代的事情。形容知识丰富。
通达谙练	通达：明白；谙练：熟悉，熟练。深知人情事理，处理问题老练。
通邑大都	四通八达的大都会、大城市。同“通都大邑”。
通都大埠	四通八达的大都会、大城市。同“通都大邑”。
通都大邑	都：都市；邑：城。四通八达的大都会、大城市。
通都巨邑	四通八达的大都会、大城市。同“通都大邑”。
通险畅机	使险要之地畅通无阻。
通风报信	风：风声。把对立双方中一方的机密暗中告诉另一方。
通风报讯	把对立双方中一方的机密暗中告诉另一方。同“通风报信”。
通风讨信	犹言通风报信。把对立双方中一方的机密暗中告诉另一方。
通首至尾	从开始到结尾。犹言原原本本。
逝将去汝	诀别之辞。
逝者如斯	用以形容光阴如流水一去不返。
逞凶肆虐	逞：施展。肆：放肆。虐：残暴。放纵地行凶作恶，任意地进行残害。
逞奇眩异	指炫耀奇异。
逞妍斗色	形容花儿盛开，竞相逞美。
逞娇呈美	指花草显示出美丽的颜色。
逞娇斗媚	犹言争娇斗媚。形容竞相撒娇献媚的样子。
逞工炫巧	指炫耀工巧。
逞工衒巧	衒，同“炫”，夸耀。炫耀工巧。
逞己失众	逞：放任。指由着性子胡来会失去众人的支持。
逞异夸能	施展奇异本事，夸耀能力高强。
逞强好胜	指显示自己能力强并想胜过别人。
逞强称能	炫耀卖弄自己的才能和本事。
逞心如意	犹言称心如意。
逞性妄为	由着性子胡来。也指坏人任意干坏事。
逞怪披奇	指炫耀奇异。
速战速决	用快速的战术结束战局。也比喻用迅速的办法完成任务。
造作矫揉	犹言矫揉造作。
造化小儿	造化：指命运；小儿：小子，轻蔑的称呼。这是对于命运的一种风趣说法。
造化弄人	指命运捉弄人。
造因得果	指无论制造何种因缘，必得相应之后果。
造因结果	指无论制造何种因缘，必得相应之后果。
造天立极	指君王登上帝位，确立纲纪。
造微入妙	形容达到微妙的境界。
造恶不悛	作恶事而不肯悔改。
造极登峰	登峰造极。比喻达到极点。
造次行事	匆忙做事。
造次颠沛	流离失所，生活困顿。
造端倡始	指首先倡导。
造端托始	造：开始。指首先倡导
造端讬始	指首先倡导。同“造端倡始”。
造茧自缚	作茧自缚。比喻做了某事，结果反而使自己受困。
造言之刑	刑：刑罚。对造谣惑众的人所处的刑罚。
造言惑众	制造谣言，迷惑群众。
造言捏词	捏造虚假的言词。
造言生事	捏造虚言以挑起事端。
造谋布穽	指设计陷害。
造谋布阱	指设计陷害。阱，同宑。
造谣中伤	中伤：攻击和陷害别人。制造谣言，陷害别人。
造谣惑众	制造谣言，迷惑群众。
造谣生事	制造谣言，挑起事端。
造谣生非	捏造谣言，挑起事端。同“造谣生事”。
造谤生事	假造言语诽谤他人以生事端。
造车合辙	比喻主观同客观相符合。
造难生患	造难：制造灾难；患：祸害。投靠不幸会引来祸害。
逡巡畏缩	逡巡：想走又不走，犹豫不决的样子。指因为害怕而不敢向前。
逢人说项	项：指唐朝诗人项斯。遇人便赞扬项斯。比喻到处为某人某事吹嘘，说好话。
逢凶化吉	逢：遭遇；凶：不幸；吉：吉利、吉祥。遇到凶险转化为吉祥、顺利。这是带有迷信的说法。
逢吉丁辰	指遇上好时运。
逢君之恶	执迎合昏庸的执政者，引他去干坏事。
逢场作乐	犹言逢场作戏。偶尔随俗应酬凑凑热闹。
逢场作戏	逢：遇到；场：演戏的场地。原指旧时走江湖的艺人遇到适合的场合就表演。后指遇到机会，偶尔凑凑热闹。
逢场作趣	犹言逢场作戏。偶尔随俗应酬凑凑热闹。
逢场游戏	犹言逢场作戏。偶尔凑凑热闹。
逢场竿木	比喻偶尔凑凑热闹的人。
逢山开路	形容不畏艰险，在前开道。
逢山开道	形容不畏艰险，在前开路。常与“遇水叠桥”连用。
逢年过节	在新年之际或在其他节日里。
逢恶导非	指逢迎坏人，助长恶行。
逢新感旧	逢：遇到，遭遇；感旧：感念旧人旧事。遇到新相识而引起对故人的怀念。
逢时遇节	时：季节；节：节气。遇到四季节令。指过年过节的时候。
逢机立断	犹言当机立断。
逢机遘会	遭逢机会。
逢衣浅带	逢衣：袖子宽大的衣服，古代读书人的衣服；浅带：宽博的衣带。宽袖大带是古代儒者的服饰，借指儒者。
逴俗绝物	犹言超世绝俗。
逶迤退食	从容谦退，公正廉洁。
逷听远闻	“逷”同“逖”。指视听范围很远很广。
逸以待劳	犹以逸待劳。
逸兴云飞	指超逸豪放的意兴勃发飞扬。
逸兴横飞	指超逸豪放的意兴勃发飞扬。
逸兴遄飞	指超逸豪放的意兴勃发飞扬。
逸尘断鞅	指马奔跑时扬起尘土，挣断马鞅。形容马跑得很快。
逸态横生	指清新美妙的姿态洋溢而出。
逸游自恣	安闲玩乐，随心所欲。
逸群之才	拥有超过众人的才能。
逸群绝伦	指超出世人和同辈。
逸趣横生	指超逸不俗的情趣洋溢而出。
逸辈殊伦	指超越同辈，无与比伦。
逸闻琐事	指世人不在知道而感兴趣的传闻和故事。
逸闻趣事	指世人不在知道而感兴趣的传闻和故事。
逸闻轶事	指世人不在知道而感兴趣的传闻和故事。
逸韵高致	高逸的风度韵致。
逼上梁山	比喻被迫起来反抗。现也比喻被迫采取某种行动。
逼不得已	指迫不得已。
逼人太甚	指对人逼迫不留馀地。
逼良为娼	①指强迫良家妇女卖淫。②比喻被迫做某件坏事。
逾假不归	即假期已满而未归营。
逾千越万	指数字超过千或万。极言其多。
逾墙窥蠙	指男女偷情。同“逾墙钻穴”。
逾墙窥隙	指男女偷情。
逾墙越舍	指翻墙越舍很快就走了。
逾墙避命	越墙而逃，躲避被召之命。指隐士隐居不仕。
逾墙钻穴	指男女偷情。
逾墙钻蠙	指男女偷情。同“逾墙钻穴”。
逾墙钻隙	逾：越过；钻：穿孔，打眼。越墙、钻洞。指对女子作挑逗的行为。
逾山越海	越过山海。指长途跋涉。
逾年历岁	指经过一定年月。形容经历较长时间。
逾庖而宴	逾：越过，穿过；庖：厨房。越过厨房去吃饭。指办事不合情理。
逾次超秩	犹言越过次序。
逾沙轶漠	穿越沙漠。谓经历险远的路途。
逾淮为枳	橘移到淮河以北就变成枳了。比喻事物随环境的变化而变化。
逾淮之橘	比喻易地而变质的事物。
逾绳越契	指在结绳、书契之前没有文字。绳、契指结绳、书契。后引申指不通文字。
逾规越矩	指说话或处事超越规矩
逾闲荡检	逾、荡：超越；闲、检：指规矩、法度。形容行为放荡，不守礼法。
遁世幽居	指避世而深居不做官。同“遁世隐居”。
遁世无闷	指逃避世俗而心无烦忧。
遁世离俗	指隐居而屏绝世俗往来。
遁世离群	犹言避世独处。
遁世绝俗	指隐居而屏绝世俗往来。同“遁世离俗”。
遁世遗荣	指避世隐居而抛弃荣华富贵。
遁世长往	避世隐居而长期不出。
遁世隐居	指避世而深居不做官。
遁俗无闷	指逃避世俗而心无烦忧。同“遁世无闷”。
遁光不耀	遁：隐藏；耀：显耀。隐去光芒，不使显耀。比喻暗中做好事，不向人们显示。
遁入空门	遁：逃遁；空门：指佛教，因佛教认为世界是一切皆空的。指出家。避开尘世而入佛门。
遁名匿迹	遁：隐藏；匿：藏匿。隐姓埋名，不让人闻知。
遁名改作	窜改物名，改变作品。
遁天之刑	指违背自然规律所受的刑罚。
遁天倍情	指违背天然之性而加添流俗之情。一说，违背天性与真情。倍，通“背”。
遁天妄行	指违背自然规律而胡作非为。
遁形远世	犹言避世隐居。
遁身远迹	犹言避世隐居。
遁迹匿影	指隐藏踪迹和身形。
遁迹方外	犹言避世隐居于僧道中。
遁迹桑门	指避开尘世而出家为僧。桑门，即沙门。
遁迹潜形	遁、潜：隐藏。迹、形：踪迹，形迹。指隐藏踪迹和身形。
遁迹空门	指出家。避开尘世而入佛门。同“遁入空门”。
遁迹藏名	犹言隐居不出。
遁迹销声	指隐居不出。
遁迹黄冠	指避开尘世而做道士。
遁逸无闷	指逃避世俗而心无烦忧。同“遁世无闷”。
遁阴匿景	指隐藏形迹。
遂心如意	犹言称心如意。亦作“遂心满意”、“遂心快意”。
遂心应手	犹得心应手。形容运用自如。
遂心快意	形容心满意足，事情的发展完全符合心意。同“遂心如意”。
遂心满意	形容心满意足，事情的发展完全符合心意。同“遂心如意”。
遂迷不寤	执迷不悟；坚持错误而不觉悟。
遂迷不窹	执迷不悟；坚持错误而不觉悟。亦作“遂迷忘反”。
遂迷忘反	执迷不悟；坚持错误而不觉悟。同“遂迷不寤”。
遂非文过	饰非文过。掩饰错误和过错。
遇事不苟	苟：苟且，马虎。指做事认真细致，一点儿不马虎。
遇事掣肘	掣：拉；掣肘：拉住胳膊。比喻从旁牵制、阻挠。一遇到事情就从旁干涉阻挠。
遇事生波	原形容处事果断而迅速。后指一有机会就挑拔是非，引起事端。
遇事生端	指好事者一有机会就借端兴风作浪。
遇事生风	原形容处事果断而迅速。后指一有机会就挑拔是非，引起事端。
遇事风生	原形容处事果断而迅速。后指一有机会就挑拔是非，引起事端。
遇人不淑	淑：善，美。指女子嫁了一个品质不好的丈夫。后泛指结交了不正派的人。
遇水叠桥	遇水阻拦，就架桥通过。形容不怕阻力，奋勇前进。
遇水架桥	遇水阻拦，就架桥通过。形容不怕阻力，奋勇前进。
遇水迭桥	遇水阻拦，就架桥通过。形容不怕阻力，奋勇前进。
遇物持平	指对待人和事持公正态度。
遇难呈祥	碰到灾难也能化为吉祥。
遇难成祥	碰到灾难也能化为吉祥。
遍体鳞伤	浑身受伤，伤痕象鱼鳞一样密。形容受伤很重。
遍地开花	比喻好的事物到处涌现或普遍发展。
遏云绕梁	遏：停止。歌声优美，使游动的浮云为之停下来静听，似余音绕着屋梁，不愿散去。
遏密八音	遏：阻止；密：寂静。各种乐器停止演奏，乐声寂静。旧指皇帝死后停乐举哀。后也用以形容国家元首之死。
遏恶扬善	遏：阻止；扬：宣扬。禁绝坏事，宣扬提倡好事。
遏渐防萌	犹言杜渐防萌。
遐尔闻名	形容名声大，远近都知道。
遐州僻壤	指边远偏僻的地方。
遐思遥爱	在远处思念着、爱慕着。形容爱慕深切。
遐方绝域	指边远偏僻的地区。
遐方绝壤	指边远偏僻的地区。同“遐方绝域”。
遐迩一体	指远近犹如一个整体。形容协调统一。
遐迩知名	遐：远；迩：近。形容名声很大，远近都知道。
遐迩著闻	远近闻名。形容名声很大。
遐迩闻名	遐：远；迩：近。形容名声很大，远近都知道。
遒文壮节	遒：强劲。指文辞刚劲有力，节奏雄壮。
道不举遗	路上没有人把别人丢失的东西拾走。形容社会风气好。同“道不拾遗”。
道不拾遗	遗：失物。路上没有人把别人丢失的东西拾走。形容社会风气好。
道不掇遗	路上没有人把别人丢失的东西拾走。形容社会风气好。同“道不拾遗”。
道不相谋	指思想志向不同的人不会在一起共事。
道东说西	指乱加谈论。同“道西说东”。
道义之交	交：交情，友谊。有道德有正义感的交往和友情。指互相帮助，互相支持的朋友。
道傍之筑	比喻无法成功的事。
道傍筑室	比喻杂采各家之说。亦比喻无法成功的事。
道傍苦李	比喻庸才，无用之才。同“道边苦李”。
道合志同	指彼此的志趣理想一致。
道同义合	犹言道合志同。
道同契合	犹言道合志同。
道同志合	犹言道合志同。
道听涂说	从道路上听到，在道路上传说。泛指没有根据的传闻。
道听耳食	对传闻之辞不加去取，盲目轻信。
道听途说	道、途：路。路上听来的、路上传播的话。泛指没有根据的传闻。
道在人为	犹言事在人为。
道在屎溺	比喻道之无所不在。
道大莫容	原指孔子之道精深博大，所以天下容纳不了他。后用以正确的道理不为世间所接受。
道头会尾	说个开头就知道结果。形容思维敏捷、悟性好。同“道头知尾”。
道头知尾	说个开头就知道结果。形容思维敏捷、悟性好。
道存目击	一个人具有深厚的道德修养，人们只需一接触便能感受得到。
道学先生	指思想、作风特别迂腐的读书人。
道寡称孤	指自封为王，称霸一方。
道尽涂殚	涂：通“途”；殚：尽。到了无路可走的境地。比喻穷途没路，末日来临。
道尽涂穷	指无路可走，陷于绝境。
道尽途殚	指无路可走，陷于绝境。
道尽途穷	道、途：路。走到路的尽头。形容无路可走，面临末日。
道山学海	道、学：学问。学识比天高比海深。形容学识渊博。
道弟称兄	朋友间以兄弟相称，表示关系亲密。
道微德薄	道行和才能都很差。多作谦辞。
道德文章	指思想品德和学识学问。
道旁苦李	比喻不被重视的人。
道无拾遗	路上没有人把别人丢失的东西拾走。形容社会风气好。同“道不拾遗”。
道殣相属	道路上饿死的人到处都是。同“道殣相望”。
道殣相望	殣：饿死。道路上饿死的人到处都是。
道殣相枕	道路上饿死的人到处都是。同“道殣相望”。
道而不径	道：走路。径：小路。走路要走大路而不走小路，以免遇到危险。
道西说东	说东家，讲西家。形容没有中心地随意说。
道貌俨然	犹道貌岸然。指神态严肃，一本正经的样子。
道貌凛然	犹道貌岸然。指神态严肃，一本正经的样子。
道貌岸然	道貌：正经严肃的容貌；岸然：高傲的样子。指神态严肃，一本正经的样子。
道路以目	在路上遇到不敢交谈，只是以目示意。形容人民对残暴统治的憎恨和恐惧。
道路传闻	在道路上传播听到的消息。指社会上广为流传的消息。
道路侧目	侧目：侧目而视。在路上相遇，不敢交谈，以目示意。形容政治黑暗暴虐。
道路指目	路上行人用手指，用眼睛看。形容事情已经很明显，众人皆知。
道路相告	路上行人互相传递消息。形容消息或事件引人注目。
道路相望	望：看见。在道上可以互相看见。形容人络绎不绝。
道路藉藉	藉藉：纷乱众多的样子。形容社会上人们众说纷纭，纷纷传告。
道边苦李	比喻庸才，无用之才。
道远日暮	暮：太阳落山。道路很遥远，而且太阳西沉了。比喻还有很多事要做，可时间不多了。
道远知骥	骥：千里马。路途遥远才可以辨别良马。比喻经过长久的锻练，才能看出人的优劣。
道道地地	非常地道。
道键禅关	道：道教；键：观宇，禅佛佛教；关：指寺院。道教的观宇，佛教的寺院。
道长争短	指评论好坏是非。
道长论短	指评论好坏是非。
道骨仙风	指有得道者及仙人的气质神采。
道高德重	道德高尚，很有威信。
道高望重	犹言德高望重。
道高魔重	形容法力高强。
遗世忘累	避世隐居而不为世俗之事牵累。
遗世拔俗	超脱世俗。同“遗世越俗”。
遗世独立	遗世：遗弃世间之事。脱离社会独立生活，不跟任何人往来。
遗世绝俗	遗世：遗弃世间之事。脱离社会独立生活，不跟任何人往来。
遗世越俗	指超脱世俗。
遗休余烈	比喻前人留下的盛德美名和功烈业绩。同“遗芳余烈”。
遗俗流风	前代流传给后世的风雅韵事。
遗俗绝尘	指超脱尘俗而避世隐居。
遗华反质	指舍弃浮华而返归朴质。
遗名去利	指丢弃名位和利益。
遗哂大方	指让内行见笑。同“遗笑大方”。
遗声余价	指前人死后在社会上流传的声誉和评价。
遗声坠绪	指行将绝灭的诗歌创作传统。
遗大投艰	遗、投：交给。指交给重大艰难的任务。
遗孽余烈	指遗留下来的残余势力。
遗害无穷	留下无穷的祸患。
遗寝载怀	指心有所念而寝不安席。
遗形去貌	指舍弃一切外在形式。
遗形忘性	超脱形骸，舍弃心性，进入忘我的精神境界。同“遗形藏志”。
遗形藏志	超脱形骸，舍弃心性，进入忘我的精神境界。
遗德休烈	指先人留下的德泽和功业。同“遗德余烈”。
遗德余烈	指先人留下的德泽和功业。
遗恨千古	千古：时间久远。遗留的怨恨永远存在下去。
遗恨终天	指终身感到悔恨。
遗恩余烈	前人遗留下的恩德功业。
遗患无穷	留下无穷的祸患。
遗惠余泽	前人留下的恩惠德泽。
遗文轶事	遗文：前人留下的诗文，多指未曾收入作者文集的文章；轶事：淬在民间而未见官方记载的事迹。指未见记载的文献资料。
遗文逸句	指散佚的文章和句子。
遗物忘形	泯灭物我界限，指舍弃外在形式，精神进入忘我境界。
遗物识心	指舍弃一切外在形式而彼此心意一致。
遗珠弃璧	本指弃置不用的珍珠玉璧，比喻弃置不用的美好事物和优秀人才。
遗珥坠簪	形容欢饮而不拘形迹。同“遗簪堕珥”。
遗珥堕簪	形容欢饮而不拘形迹。同“遗簪堕珥”。
遗祸无穷	指留下祸害没有穷尽。
遗笑大方	指让内行见笑。
遗篇坠款	指散佚的诗文篇章和书画款识。
遗篇断简	指散佚而残缺不全的典籍。同“遗编断简”。
遗簪坠履	比喻旧物或故情。同“遗簪坠屦”。
遗簪坠屦	遗：遗失；坠：掉落；屦：鞋子。掉落的簪和鞋子，比喻旧物。后指不忘旧友叫“不弃遗簪坠屦”。
遗簪坠珥	指遗落、丢弃簪子珥珰。亦指遗弃的簪珥。
遗簪坠舄	指遗落在地的簪子鞋子。
遗簪堕履	比喻旧物或故情。同“遗簪坠屦”。
遗簪堕屦	遗：遗失；堕：掉落；屦：鞋子。掉落的簪和鞋子，比喻旧物。比喻能勾起人们怀旧之情的故物。
遗簪堕珥	形容欢饮而不拘形迹。
遗簪弃舄	指遗落在地的簪子鞋子。同“遗簪坠舄”。
遗簪弊履	比喻旧物或故情。同“遗簪坠屦”。
遗簪弊屦	比喻旧物或故情。同“遗簪坠屦”。
遗簪绝缨	指男女杂坐，不拘形迹，欢饮无度。
遗簪脱舄	形容欢饮而不拘形迹。
遗簪败履	遗：遗失；履：鞋子。掉落的簪和鞋子，比喻旧物。比喻能勾起人们怀旧之情的故物。
遗编坠简	指散佚而残缺不全的典籍。同“遗编断简”。
遗编断简	指散佚而残缺不全的典籍。
遗编绝简	指散佚而残缺不全的典籍。
遗老孤臣	指改朝换代后已经失势而仍效忠前朝的老臣。
遗老遗少	遗老：旧称前朝的旧臣；遗少：留恋旧时代的少年。改朝换代后仍效忠前朝的老人和青年。也泛指留恋过去、思想顽固陈旧的人。
遗臊撒粪	比喻坏名声到处流传。
遗臭万世	死后恶名流传，永远受人唾骂。同“遗臭万载”。
遗臭万代	死后恶名流传，永远受人唾骂。同“遗臭万载”。
遗臭万年	遗臭：死后留下的恶名。死后恶名一直流传，永远被人唾骂。
遗臭万载	死后恶名流传，永远受人唾骂。
遗臭千代	遗臭：死后留下的恶名。死后恶名一直流传，永远被人唾骂。
遗臭千年	死后恶名流传，永远受人唾骂。同“遗臭万载”。
遗臭千秋	死后恶名流传，永远受人唾骂。同“遗臭万载”。
遗臭无穷	指坏名声永远流传下去，而无穷尽之日。
遗艰投大	指交给重大艰难的任务。同“遗大投艰”。
遗芬余荣	比喻前人留下的盛德美名和功烈业绩。
遗芬剩馥	比喻前人留下的精美文章。
遗芳余烈	比喻前人留下的盛德美名和功烈业绩。
遗落世事	指遗忘弃置世俗之事。
遗训余风	前代遗留下来的风尚教化。
遗训可秉	秉：秉承，领受。前人留下来的训告可以继承。
遗迹谈虚	指舍弃根据而空谈玄虚。
遗钿坠舄	钿：有金翠珠宝等制成的首饰，舄：鞋子。形容女子在游玩、交际时纵情欢乐的景象。
遗闻琐事	指前代或前人遗留下来而少为人知的传闻，多指不见于正式记载的。同“遗闻逸事”。
遗闻轶事	散失，遗留下来的事迹。
遗闻逸事	指前代或前人遗留下来而少为人知的传闻，多指不见于正式记载的。
遗音余韵	前人作品的余音和韵致。形容作品美妙。
遗风余习	前代遗留下来的风俗。同“遗风余俗”。
遗风余俗	前代遗留下来的风俗。
遗风余思	前代遗留下来的风尚情思。
遗风余教	前代遗留下来的风尚教化。
遗风余泽	前人遗留下来的风教和德泽。
遗风余烈	前人留传的风教和业迹。
遗风余象	前代遗留下来的风俗和法式。
遗风余采	前代遗留下来的风度文采。
遗风余韵	前人遗留下来的风教和韵致。
遗风古道	前代留传下来的淳厚古朴的风尚。
遗风旧俗	前代遗留下来的风俗习惯。
遗风逸尘	前代遗留下来的风教和超逸的事迹。
遗风遗泽	先人留下的教化德泽。
遗魂亡魄	指抛弃思虑，停止精神活动。
遗黎故老	指前朝留下的历经世变的老人。
遝冈复岭	指冈峦重沓。
遣兴陶情	遣释意兴，陶冶情趣。
遣兵调将	犹调兵遣将。亦作“遣将调兵”、“遣将征兵”。
遣将征兵	泛指调动安排人力。同“遣兵调将”。
遣将调兵	泛指调动安排人力。见“遣兵调将”。
遣愁索笑	消愁求乐。
遣言措意	指写文章、说话时的用词立意。同“遣辞措意”。
遣词措意	指写文章、说话时的用词立意。同“遣辞措意”。
遣词立意	指写文章或说话时的用辞立意。
遣词造句	运用词语组织句子。
遣词造意	指写文章、说话时的用词立意。同“遣辞措意”。
遣辞措意	指写文章、说话时的用词立意。
遥亘千里	亘：横贯。指远隔千里。
遥以心照	遥：远。彼此相隔遥远而心相通。
遥呼相应	远远地互相联系，互相配合。同“遥相呼应”。
遥夜沉沉	遥夜：长夜。长夜深沉。比喻忧郁的心情或黑暗的社会，好像漫漫长夜熬不到天明。
遥岑寸碧	岑：小而高的山。极目远望，映入眼帘的是一块仅有一寸来大的苍翠小山。
遥相呼应	遥：远远地；应：照应。远远地互相联系，互相配合。
遥相应和	遥：远远地；应：照应。远远地互相联系，互相配合。
遥荡恣睢	遥荡：任心纵散；恣睢：放任无拘束。指性情不受拘束，任心放荡。
遥遥华胄	指名人的远裔。嘲人自夸出于名门。
遥遥在望	先秦·左丘明《左传·昭公二十五年》：“鸲鹆之巢，远哉遥遥。”
遥遥无期	遥遥：形容时间长久。时间还远得很，不知道哪一天。比喻离达到目的的日子还远得很。
遥遥相对	远远地对着。多形容两样事物的性质或形状相类似，配得上。
遥遥相望	远远地望着。多形容两样事物的性质或形状相类似，配得上。
遥遥领先	遥遥：远远。远远地走在最前面。
遨翔自得	指自由自在的样子。
遭事制宜	犹言因事制宜。
遭倾遇祸	遭逢危亡之世而遇祸害。
遭劫在数	指命中注定要遇到灾难。
遭家不造	遭：遇到；造：成。原是周成王居父丧时自哀之辞。后指遭遇家中不幸的事。
遭时不偶	指不遇合时机。
遭时制宜	犹言因时制宜。
遭时定制	指因时势而规定法制。
遭逢不偶	指不遇合时机。
遭逢会遇	犹言逢遇时机。
遭逢时会	犹言逢遇时机。同“遭遇际会”。
遭逢际会	犹言逢遇时机。
遭遇不偶	指不遇合时机。
遭遇运会	犹言逢遇时机。同“遭遇际会”。
遭遇际会	犹言逢遇时机。
遭际不偶	指不遇合时机。
遭际时会	犹言逢遇时机。
遮三瞒四	说话、做事多方掩饰，不爽快。
遮人眼目	明·方汝浩《禅真逸史》第十九回：“你只见庵观寺院的和尚贫财好色，明蔬暗荤，遮人眼目，俺庄内须与他们不同，荤酒俱有，待人甚恕。”
遮人耳目	遮：遮掩。遮掩他人视听。指玩弄手法，掩盖真相。
遮前掩后	指说话藏头露尾，欲言又止。
遮地漫天	形容风沙、雨雪大或人马等极多。
遮地盖天	形容风沙、雨雪大或人马等极多。同“遮天盖地”。
遮天压地	遮住天，盖住地。形容数量多，占的面积大。
遮天映日	遮蔽天空和太阳。形容事物体积庞大、数量众多或气势盛大。
遮天盖地	形容数量多，占的面积大。
遮天盖日	遮蔽天空和太阳。形容事物体积庞大、数量众多或气势盛大。
遮天蔽日	遮蔽天空和太阳。形容事物体积庞大、数量众多或气势盛大。
遮天迷地	形容风沙、雨雪大或人马等极多。
遮掩耳目	指遮掩别人的视听，掩饰真情。
遮空蔽日	遮蔽天空和太阳。形容事物体积庞大、数量众多或气势盛大。
遮羞包丑	指掩盖感到羞耻和丑陋的东西。
遮遮掩掩	指要隐瞒某种真相而行为不爽利。
遮风挡雨	比喻起保护作用。
遵养待时	指顺应时势积蓄力量以待时机。
遵养时晦	遵：遵循，按照；时：时势；晦：隐藏。原为颂扬周武王顺应时势，退守待时。后多指暂时隐居，等待时机。
遵养晦时	内外受到敌人的攻击。
遵厌兆祥	指遵循预兆行事。
遵常守故	遵常：遵循常规；守故：坚持陈旧的作风。指因袭保守，不求建树。
遵时养晦	遵：遵循，按照；时：时势；晦：隐藏。原为颂扬周武王顺应时势，退守待时。后多指暂时隐居，等待时机。
遵而不失	遵照先人的典章制度而不违失。
遵而勿失	遵照先人的典章制度而不违失。
遵道秉义	犹言遵守道义。
避世墙东	指隐居于市井贩夫之中。
避世离俗	指逃避浊世，超脱凡俗。
避世绝俗	避世：隐居不出仕；绝俗：与世间隔绝。脱离现实生活，不和人们往来。形容隐居山林，不与世人交往。一般指消极处世的态度。
避世金门	以之比喻身为朝官而逃避世务。
避世金马	以之比喻身为朝官而逃避世务。
避之若浼	指躲避惟恐不及，生怕沾污了自身。
避井入坎	比喻躲过一害，又受一害。同“避坑落井”。
避人眼目	指避免走漏消息。同“避人耳目”。
避人耳目	指避免走漏消息。
避俗趋新	指舍弃旧俗而追求新潮。
避其锐气	其：他的；锐气：勇猛的气势。避开敌人的旺盛气势，等敌人疲惫松懈时再狠狠打击。
避军三舍	指退让和回避。一舍：三十里。
避凉附炎	指疏远避开无权势者，亲热攀附有权势者。
避凶就吉	避：避开；就：趋。指避开祸害而趋向吉利。
避凶趋吉	避开凶险，趋向吉祥。
避君三舍	指退让和回避。一舍：三十里。
避嚣习静	嚣：喧哗。躲开喧闹，安于清静。
避坑落井	躲过了坑，又掉进井里。比喻躲过一害，又受一害。
避嫌守义	嫌：嫌疑；守义：保守道义。避开嫌疑，保守道义。
避实击虚	实：实在，坚实部分；虚：空虚，虚弱部分。指避开敌人的主力，找敌人的弱点进攻。又指谈问题回避要害。
避实就虚	指避开敌人的主力，找敌人的弱点进攻。又指谈问题回避要害。
避害就利	就：接近、走向。躲开有害的，接近有利的条件。
避强击弱	军事用语。在运动战中避开敌人的精锐部队而专拣疲弱的打。
避强击惰	军事用语。在运动战中避开敌人的精锐部队而专拣疲弱的打。
避强打弱	军事用语。在运动战中避开敌人的精锐部队而专拣疲弱的打。
避影匿形	指隐蔽起来，不露形迹。
避影敛迹	指隐蔽起来，不露形迹。
避李嫌瓜	以之表示避免嫌疑。
避毁就誉	回避诋毁而追求称誉。
避溺山隅	指防止淹死而躲入山隅。表示远远回避。
避烦斗捷	指避开烦难而比赛简捷。
避瓜防李	表示避免嫌疑。
避祸就福	避开凶险，趋向幸福。
避祸求福	指避开灾祸而求取幸福。
避穽入坑	穽，同“阱”。比喻躲过一害，又受一害。同“避坑落井”。
避繁就简	避开繁杂的，从事简单的。
避而不谈	躲避开而不肯说。指有意回避事实。
避让贤路	避让：辞职的谦词；贤路：贤才仕进路。辞官退隐，让有才能的出来做事。
避迹藏时	指逃避时世。
避迹违心	指违背本意而隐匿。
避重就轻	指回避重的责任，只拣轻的来承担。也指回避要点，只谈无关紧要的事情。
避重逐轻	指避开较重的责任，拣轻的承担。
避阱入坑	指避过了井，又掉进了坑里。比喻避去一害，又受另一害。阱，异“穽”。
避难就易	就：凑近，靠近。躲开难的，去找容易的做。也指做事情先从容易的做起。
避难趋易	指避开困难的而拣容易的做。
避难逃灾	避：躲开。逃脱灾害侵袭，避免罹难之祸。
避面尹邢	以之比喻因嫉妒而避不见面。
邀功希宠	求取功名和宠信。
邀功求赏	求取功劳和奖赏。
邀功讨好	指为得到好感或讨人喜欢而去迎合某人。
邀功请赏	邀：希求。拿着功劳去请求奖赏。
邀名射利	指求取名利。
邂逅不偶	碰巧不遇合；意外不成功。
邂逅相逢	不期而遇。
